LGA_NAME,SUBURB_NAME,,,,,,,,,,,,,,,,,,,,,,,,,
BAYSIDE,BANKSMEADOW,,,,,,,,,,,,,,,,,,,,,,,,,
CANTERBURY-BANKSTOWN,BANKSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,
CANTERBURY-BANKSTOWN,BANKSTOWN AERODROME,,,,,,,,,,,,,,,,,,,,,,,,,
UPPER LACHLAN SHIRE,BANNABY,,,,,,,,,,,,,,,,,,,,,,,,,
UPPER LACHLAN SHIRE,BANNISTER,,,,,,,,,,,,,,,,,,,,,,,,,
NARRABRI,BANOON,,,,,,,,,,,,,,,,,,,,,,,,,
TWEED,BANORA POINT,,,,,,,,,,,,,,,,,,,,,,,,,
CLARENCE VALLEY,BANYABBA,,,,,,,,,,,,,,,,,,,,,,,,,
NEWCASTLE,BAR BEACH,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL COAST,BAR POINT,,,,,,,,,,,,,,,,,,,,,,,,,
MID-WESTERN REGIONAL,BARA,,,,,,,,,,,,,,,,,,,,,,,,,
WARRUMBUNGLE SHIRE,BARADINE,,,,,,,,,,,,,,,,,,,,,,,,,
SYDNEY,BARANGAROO,,,,,,,,,,,,,,,,,,,,,,,,,
CLARENCE VALLEY,BARCOONGERE,,,,,,,,,,,,,,,,,,,,,,,,,
SUTHERLAND SHIRE,BARDEN RIDGE,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPBELLTOWN,BARDIA,,,,,,,,,,,,,,,,,,,,,,,,,
BAYSIDE,BARDWELL PARK,,,,,,,,,,,,,,,,,,,,,,,,,
BAYSIDE,BARDWELL VALLEY,,,,,,,,,,,,,,,,,,,,,,,,,
BLAND,BARELLAN,,,,,,,,,,,,,,,,,,,,,,,,,
WINGECARRIBEE,BARGO,,,,,,,,,,,,,,,,,,,,,,,,,
MURRAY RIVER,BARHAM,,,,,,,,,,,,,,,,,,,,,,,,,
MID-WESTERN REGIONAL,BARIGAN,,,,,,,,,,,,,,,,,,,,,,,,,
KYOGLE,BARKERS VALE,,,,,,,,,,,,,,,,,,,,,,,,,
BLAND,BARMEDMAN,,,,,,,,,,,,,,,,,,,,,,,,,
MID-WESTERN REGIONAL,BARNEYS REEF,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE MACQUARIE,BARNSLEY,,,,,,,,,,,,,,,,,,,,,,,,,
BERRIGAN,BAROOGA,,,,,,,,,,,,,,,,,,,,,,,,,
GWYDIR,BARRABA,,,,,,,,,,,,,,,,,,,,,,,,,
SHELLHARBOUR,BARRACK HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,
SHELLHARBOUR,BARRACK POINT,,,,,,,,,,,,,,,,,,,,,,,,,
KEMPSEY,BARRAGANYATTI,,,,,,,,,,,,,,,,,,,,,,,,,
BEGA VALLEY,BARRAGGA BAY,,,,,,,,,,,,,,,,,,,,,,,,,
EDWARD RIVER,BARRATTA,,,,,,,,,,,,,,,,,,,,,,,,,
KIAMA,BARREN GROUNDS,,,,,,,,,,,,,,,,,,,,,,,,,
SHOALHAVEN,BARRENGARRY,,,,,,,,,,,,,,,,,,,,,,,,,
CLARENCE VALLEY,BARRETTS CREEK,,,,,,,,,,,,,,,,,,,,,,,,,
SHOALHAVEN,BARRINGELLA,,,,,,,,,,,,,,,,,,,,,,,,,
MID-COAST,BARRINGTON,,,,,,,,,,,,,,,,,,,,,,,,,
MID-COAST,BARRINGTON TOPS,,,,,,,,,,,,,,,,,,,,,,,,,
BOURKE,BARRINGUN,,,,,,,,,,,,,,,,,,,,,,,,,
BLAYNEY,BARRY,,,,,,,,,,,,,,,,,,,,,,,,,
HILLTOPS,BARWANG,,,,,,,,,,,,,,,,,,,,,,,,,
CLARENCE VALLEY,BARYULGIL,,,,,,,,,,,,,,,,,,,,,,,,,
SHOALHAVEN,BASIN VIEW,,,,,,,,,,,,,,,,,,,,,,,,,
CANTERBURY-BANKSTOWN,BASS HILL,,,,,,,,,,,,,,,,,,,,,,,,,
INVERELL,BASSENDEAN,,,,,,,,,,,,,,,,,,,,,,,,,
PORT MACQUARIE-HASTINGS,BATAR CREEK,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL COAST,BATEAU BAY,,,,,,,,,,,,,,,,,,,,,,,,,
EUROBODALLA,BATEHAVEN,,,,,,,,,,,,,,,,,,,,,,,,,
EUROBODALLA,BATEMANS BAY,,,,,,,,,,,,,,,,,,,,,,,,,
BATHURST REGIONAL,BATHAMPTON,,,,,,,,,,,,,,,,,,,,,,,,,
BATHURST REGIONAL,BATHURST,,,,,,,,,,,,,,,,,,,,,,,,,
SNOWY VALLEYS,BATLOW,,,,,,,,,,,,,,,,,,,,,,,,,
PARRAMATTA,BAULKHAM HILLS,,,,,,,,,,,,,,,,,,,,,,,,,
GOULBURN MULWAREE,BAW BAW,,,,,,,,,,,,,,,,,,,,,,,,,
SHOALHAVEN,BAWLEY POINT,,,,,,,,,,,,,,,,,,,,,,,,,
